X,Y,OBJECTID,site_name,feature_type_name,EASTING,NORTHING,asset_id_code,site_code,number_bins,bin_size
326379.2,676595.220000001,2483552,Prince Regent Street,WS: Communal Bin,326379,676595,,7901252,2,1280
326369.14,676579.35,2483553,Prince Regent Street,WS: Bottle Bank - Mixed,326369,676579,,7901252,1,660
326369.21,676579.189999999,2483554,Prince Regent Street,WS: Packaging,326369,676579,,7901252,2,1100
326318.09,676551.33,2483555,Prince Regent Street,WS: Packaging,326318,676551,,7901252,2,1100
327854.99,674094.43,2483556,Queen's Park Avenue,WS: Bottle Bank - Mixed,327855,674094,,7902118,1,660
327856.17,674094.57,2483557,Queen's Park Avenue,WS: Packaging,327856,674095,,7902118,2,1100
326595.7,676639.470000001,2483558,Cromwell Place,WS: Bottle Bank - Mixed,326596,676639,,7901118,1,660
326562.86,676707.119999999,2483559,Prince Regent Street,WS: Food Waste Communal,326563,676707,,7901252,1,240
326562.52,676706.949999999,2483560,Prince Regent Street,WS: Bottle Bank - Mixed,326563,676707,,7901252,1,500
326563.02,676706.949999999,2483561,Prince Regent Street,WS: Packaging,326563,676707,,7901252,2,1100
326563.03,676707.289999999,2483562,Prince Regent Street,WS: Communal Bin,326563,676707,,7901252,2,1100
326312.61,676681.16,2483563,Portland Street,WS: Bottle Bank - Mixed,326313,676681,,7901250,1,660
326313.12,676681.65,2483564,Portland Street,WS: Packaging,326313,676682,,7901250,2,1100
326312.78,676681.16,2483565,Portland Street,WS: Communal Bin,326313,676681,,7901250,2,1100
326173.0,676862.810000001,2483566,Lindsay Road,WS: Bottle Bank - Mixed,326173,676863,,7901195,1,660
326252.12,676785.35,2483567,Lindsay Street,WS: Bottle Bank - Mixed,326252,676785,,7901196,1,660
326251.88,676785.689999999,2483568,Lindsay Street,WS: Packaging,326252,676786,,7901196,2,1100
326039.74,676839.289999999,2483569,North Fort Street,WS: Bottle Bank - Mixed,326040,676839,,7901228,1,660
326040.4,676838.85,2483570,North Fort Street,WS: Packaging,326040,676839,,7901228,2,1100
326071.24,676864.630000001,2483571,Lindsay Road,WS: Bottle Bank - Mixed,326071,676865,,7901195,1,500
326071.07,676864.810000001,2483572,Lindsay Road,WS: Packaging,326071,676865,,7901195,2,1100
326104.79,676863.82,2483573,Lindsay Road,WS: Bottle Bank - Mixed,326105,676864,,7901195,1,660
326105.63,676864.130000001,2483574,Lindsay Road,WS: Packaging,326106,676864,,7901195,2,1100
